ligand_id	library_id	docking_score_1d3g	docking_score_1d3h	docking_score_4igh	docking_score_6j3c
CHEMBL199361	dude_actives	10.90487	10.12239	10.61601	11.48885
CHEMBL39448	dude_actives	12.59793	11.0709	11.46514	11.84857
CHEMBL202431	dude_actives	11.40998	11.11757	11.18299	11.39143
CHEMBL200699	dude_actives	10.80076	10.54861	10.31368	11.12899
CHEMBL356115	dude_actives	9.18309	9.18164	9.11165	9.77398
CHEMBL143628	dude_actives	10.17989	10.1138	10.18263	9.50026
CHEMBL341925	dude_actives	9.91245	9.91448	10.27333	9.87182
CHEMBL194955	dude_actives	11.48187	10.75181	11.33532	11.50811
CHEMBL50499	dude_actives	12.95253	11.86372	12.73328	12.75486
CHEMBL41719	dude_actives	12.86406	11.20002	11.915	12.68656
CHEMBL344913	dude_actives	9.30188	9.38092	9.2518	9.17992
CHEMBL141248	dude_actives	9.06744	8.83578	8.71019	9.30622
CHEMBL342220	dude_actives	10.18182	9.91629	10.75072	9.9284
CHEMBL218084	dude_actives	12.57718	11.00975	11.8084	12.05083
CHEMBL154623	dude_actives	11.94232	11.57396	12.06876	12.35336
CHEMBL218169	dude_actives	12.49544	10.75656	11.4509	11.72354
CHEMBL142444	dude_actives	9.76061	9.94339	10.57178	9.38936
CHEMBL345701	dude_actives	11.02432	10.57513	10.9101	11.5226
CHEMBL104209	dude_actives	12.12286	11.91499	11.81719	12.12362
CHEMBL960	dude_actives	9.0599	9.23095	9.08417	9.35998
CHEMBL321060	dude_actives	12.39134	12.21367	12.28943	12.24113
CHEMBL195622	dude_actives	11.11846	10.16607	10.844	11.26254
CHEMBL193365	dude_actives	11.79208	11.15253	11.51359	11.67074
CHEMBL143552	dude_actives	9.52514	9.63846	10.05015	9.51754
CHEMBL106467	dude_actives	11.11258	9.47538	11.64595	11.60591
CHEMBL51082	dude_actives	12.50783	11.71779	12.64481	13.23496
CHEMBL194075	dude_actives	11.27397	11.12207	11.34675	11.40723
CHEMBL200895	dude_actives	11.10849	10.76429	10.73443	11.19687
CHEMBL104302	dude_actives	11.15046	11.41464	11.83349	10.92235
CHEMBL140558	dude_actives	8.63629	9.52014	8.8543	9.12862
CHEMBL218085	dude_actives	12.76465	11.36641	11.5214	12.15507
CHEMBL106515	dude_actives	11.78053	10.68505	11.70645	11.2041
CHEMBL49129	dude_actives	12.49121	11.43991	11.83498	12.07953
CHEMBL538406	dude_actives	10.14701	9.942	9.73339	10.51958
CHEMBL48531	dude_actives	10.44047	10.68344	12.00519	12.04319
CHEMBL484780	dude_actives	10.00223	9.56929	9.56416	10.44695
CHEMBL49089	dude_actives	12.62228	11.80111	13.38211	13.3066
CHEMBL141047	dude_actives	8.44296	9.15731	8.77392	9.04958
CHEMBL49697	dude_actives	12.44536	11.39942	12.86795	12.76462
CHEMBL104146	dude_actives	12.64092	11.14583	12.36543	12.48983
